payment_id,amount,failure_code,payment_method,customer_tier,retry_count,timestamp
pay_0062,9513.92,bank_timeout,upi,platinum,0,2026-07-07 20:19:00
pay_0063,2958.64,insufficient_funds,card,silver,2,2026-08-10 16:38:00
pay_0064,153.11,insufficient_funds,card,silver,0,2026-07-13 04:23:00
pay_0065,295.57,risky_declined,upi,silver,3,2026-07-11 17:49:00
pay_0066,1360.09,risky_declined,upi,gold,0,2026-08-03 00:38:00
pay_0067,50.0,insufficient_funds,netbanking,bronze,0,2026-07-21 15:01:00
pay_0068,257.11,network_error,netbanking,bronze,0,2026-07-08 11:56:00
pay_0069,512.01,insufficient_funds,upi,silver,0,2026-07-20 07:03:00
pay_0070,422.45,insufficient_funds,upi,silver,1,2026-07-16 18:05:00
pay_0071,160.07,risky_declined,netbanking,silver,0,2026-07-06 23:31:00
pay_0072,2535.53,risky_declined,card,silver,1,2026-07-05 17:49:00
pay_0073,315.53,card_expired,card,bronze,3,2026-07-09 04:42:00
pay_0074,87.16,issuer_unavailable,emandate,bronze,0,2026-07-31 17:10:00
pay_0075,459.55,insufficient_funds,card,bronze,0,2026-07-17 16:55:00
pay_0076,673.81,insufficient_funds,netbanking,bronze,0,2026-08-08 13:13:00
pay_0077,839.77,risky_declined,upi,bronze,1,2026-08-04 23:44:00
pay_0078,3471.89,insufficient_funds,card,gold,2,2026-07-13 22:19:00
pay_0079,8987.73,bank_timeout,card,platinum,0,2026-07-26 21:41:00
pay_0080,8338.71,bank_timeout,netbanking,platinum,1,2026-07-24 14:57:00
pay_0081,700.53,card_expired,card,bronze,0,2026-08-03 14:07:00
pay_0082,5894.77,insufficient_funds,card,gold,0,2026-07-16 07:04:00
pay_0083,340.8,,emandate,bronze,1,2026-08-07 17:14:00
pay_0084,1004.69,bank_timeout,card,silver,1,2026-08-07 07:00:00
pay_0085,1705.12,insufficient_funds,netbanking,gold,0,2026-07-05 22:40:00
pay_0086,388.97,issuer_unavailable,upi,silver,0,2026-07-04 07:04:00
pay_0087,50.0,risky_declined,netbanking,bronze,0,2026-07-03 10:04:00
pay_0088,1102.5,invalid_cvv,card,silver,0,2026-08-02 07:17:00
pay_0089,185.22,bank_timeout,emandate,bronze,2,2026-08-12 15:13:00
pay_0090,2832.13,network_error,emandate,platinum,0,2026-08-04 04:46:00
pay_0091,5920.59,bank_timeout,upi,gold,0,2026-08-06 18:30:00
pay_0092,52.16,card_expired,card,silver,0,2026-07-16 15:51:00
pay_0093,350.22,network_error,upi,bronze,3,2026-07-27 06:06:00
pay_0094,101.23,issuer_unavailable,card,bronze,3,2026-07-07 21:27:00
pay_0095,887.09,insufficient_funds,emandate,bronze,0,2026-07-23 13:26:00
pay_0096,20901.45,card_expired,card,platinum,0,2026-07-30 23:03:00
pay_0097,888.91,card_expired,card,silver,1,2026-08-13 20:41:00
pay_0098,7509.99,bank_timeout,card,gold,2,2026-07-07 01:25:00
pay_0099,187.56,insufficient_funds,upi,silver,0,2026-07-22 03:15:00
pay_0100,1465.98,insufficient_funds,upi,bronze,3,2026-07-13 06:34:00
pay_0101,1512.82,bank_timeout,upi,silver,1,2026-07-29 04:27:00
pay_0102,1196.7,invalid_cvv,wallet,bronze,1,2026-07-12 08:29:00
pay_0103,1809.35,,card,silver,0,2026-07-05 14:51:00
pay_0104,1745.71,invalid_cvv,card,bronze,0,2026-08-05 03:03:00
pay_0105,1661.32,unknown,card,silver,2,2026-08-04 00:05:00
pay_0106,52.22,insufficient_funds,card,silver,2,2026-07-16 05:26:00
pay_0107,2026.63,,emandate,gold,1,2026-07-14 12:57:00
pay_0108,3592.96,insufficient_funds,netbanking,platinum,0,2026-07-04 05:24:00
pay_0109,6682.98,insufficient_funds,upi,platinum,1,2026-07-01 12:16:00
pay_0110,293.84,risky_declined,card,bronze,1,2026-07-30 09:27:00
pay_0111,740.8,card_expired,card,silver,2,2026-08-14 23:50:00
pay_0112,1266.35,insufficient_funds,card,silver,1,2026-08-05 21:45:00
pay_0113,50.0,insufficient_funds,card,silver,0,2026-08-01 04:12:00
pay_0114,2110.56,bank_timeout,card,silver,0,2026-07-19 06:03:00
pay_0115,875.78,bank_timeout,netbanking,silver,2,2026-08-07 23:34:00
pay_0116,4065.02,,card,platinum,0,2026-07-21 01:03:00
pay_0117,358.75,card_expired,card,silver,1,2026-08-07 15:32:00
pay_0118,54.81,insufficient_funds,card,bronze,0,2026-08-03 05:03:00
pay_0119,169.66,insufficient_funds,upi,bronze,2,2026-08-02 02:54:00
pay_0120,192.2,insufficient_funds,upi,silver,0,2026-07-12 02:38:00
pay_0121,50.0,insufficient_funds,card,bronze,0,2026-07-05 21:55:00
pay_0122,630.0,bank_timeout,card,silver,1,2026-07-16 12:07:00
pay_0123,50.0,risky_declined,netbanking,bronze,2,2026-08-06 07:37:00
pay_0124,9845.61,insufficient_funds,card,platinum,1,2026-08-08 01:39:00
pay_0125,265.07,bank_timeout,card,bronze,1,2026-07-06 13:42:00
pay_0126,50.0,network_error,upi,bronze,0,2026-08-07 18:33:00
pay_0127,683.58,card_expired,card,silver,0,2026-07-21 08:13:00
pay_0128,282.31,insufficient_funds,upi,silver,0,2026-08-12 22:20:00
pay_0129,158.7,insufficient_funds,card,bronze,0,2026-07-16 08:25:00
pay_0130,3891.77,risky_declined,upi,gold,0,2026-07-09 21:41:00
pay_0131,547.29,risky_declined,upi,bronze,0,2026-07-20 14:20:00
pay_0132,415.29,bank_timeout,card,bronze,1,2026-07-05 00:29:00
pay_0133,108.32,risky_declined,emandate,bronze,0,2026-08-09 18:06:00
pay_0134,82.6,insufficient_funds,card,bronze,0,2026-07-05 17:13:00
pay_0135,297.36,insufficient_funds,wallet,bronze,0,2026-08-02 08:08:00
pay_0136,20934.36,bank_timeout,card,platinum,2,2026-07-23 02:56:00
pay_0137,2761.4,insufficient_funds,card,gold,2,2026-07-16 11:18:00
pay_0138,1320.73,insufficient_funds,upi,silver,0,2026-07-11 14:53:00
pay_0139,111.05,card_expired,card,bronze,0,2026-08-04 22:19:00
pay_0140,150.9,risky_declined,card,silver,0,2026-08-09 20:33:00
pay_0141,129.91,bank_timeout,card,silver,0,2026-07-01 21:52:00
pay_0142,1763.33,invalid_cvv,card,platinum,1,2026-08-05 09:59:00
pay_0143,1326.89,card_expired,card,gold,0,2026-08-12 03:56:00
pay_0144,796.37,,netbanking,platinum,1,2026-07-08 03:47:00
pay_0145,8108.36,insufficient_funds,card,platinum,1,2026-08-05 04:17:00
pay_0146,562.95,invalid_cvv,card,gold,0,2026-07-19 19:13:00
pay_0147,296.15,risky_declined,netbanking,bronze,0,2026-08-15 10:13:00
pay_0148,1445.69,invalid_cvv,card,gold,0,2026-08-13 20:54:00
pay_0149,628.74,network_error,card,silver,0,2026-07-17 16:31:00
pay_0150,5923.74,card_expired,card,gold,1,2026-07-17 01:05:00
pay_0151,163.13,risky_declined,wallet,bronze,0,2026-08-10 13:53:00
pay_0152,5608.26,card_expired,card,gold,1,2026-07-18 01:00:00
pay_0153,544.95,insufficient_funds,card,bronze,0,2026-07-22 04:40:00
pay_0154,376.81,issuer_unavailable,netbanking,silver,2,2026-07-17 05:47:00
pay_0155,202.53,insufficient_funds,netbanking,bronze,1,2026-07-29 17:45:00
pay_0156,509.24,network_error,card,bronze,1,2026-07-28 17:00:00
pay_0157,381.76,insufficient_funds,upi,silver,0,2026-07-08 02:56:00
pay_0158,1549.77,bank_timeout,upi,gold,3,2026-08-14 04:34:00
pay_0159,378.14,card_expired,card,bronze,0,2026-07-03 11:37:00
pay_0160,2982.18,card_expired,card,gold,2,2026-08-05 04:27:00
pay_0161,839.9,card_expired,card,silver,0,2026-07-09 01:19:00
pay_0162,1498.41,,wallet,gold,0,2026-07-03 11:13:00
pay_0163,15217.85,insufficient_funds,netbanking,platinum,2,2026-08-13 07:42:00
pay_0164,50.69,bank_timeout,upi,silver,0,2026-07-07 11:49:00
pay_0165,1269.45,bank_timeout,card,gold,0,2026-08-05 13:39:00
pay_0166,3343.77,bank_timeout,card,gold,0,2026-07-10 07:55:00
pay_0167,77.62,insufficient_funds,upi,bronze,0,2026-07-11 05:56:00
pay_0168,782.01,bank_timeout,wallet,silver,1,2026-07-27 00:11:00
pay_0169,1298.4,insufficient_funds,upi,bronze,0,2026-07-22 13:51:00
pay_0170,627.79,unknown,card,silver,1,2026-07-16 08:10:00
pay_0171,913.33,insufficient_funds,netbanking,bronze,0,2026-08-14 03:24:00
pay_0172,332.82,card_expired,card,bronze,0,2026-07-03 15:14:00
pay_0173,1452.95,card_expired,card,gold,0,2026-07-13 14:22:00
pay_0174,1781.05,insufficient_funds,card,silver,3,2026-07-20 07:14:00
pay_0175,210.2,risky_declined,card,bronze,0,2026-07-02 21:12:00
pay_0176,50.0,risky_declined,upi,bronze,0,2026-07-26 10:17:00
pay_0177,50.0,insufficient_funds,upi,bronze,1,2026-07-05 08:22:00
pay_0178,50.0,insufficient_funds,upi,bronze,0,2026-08-11 16:25:00
pay_0179,1265.36,invalid_cvv,netbanking,gold,1,2026-08-13 17:21:00
pay_0180,50.0,issuer_unavailable,card,bronze,0,2026-07-02 03:56:00
pay_0181,15000.0,risky_declined,card,platinum,3,2026-08-10 14:22:00
pay_0182,320.5,,upi,bronze,0,2026-08-11 09:05:00
pay_0183,1250.0,bank_timeout,netbanking,silver,3,2026-08-12 18:47:00
pay_0184,99.0,unknown,wallet,bronze,1,2026-08-13 11:30:00
pay_0185,45000.0,risky_declined,card,gold,0,2026-08-14 20:10:00
